year,state,state_po,state_fips,state_cen,state_ic,office,district,stage,special,candidate,party,writein,candidatevotes,totalvotes,version
2004,"Alaska","AK","02",94,81,"US Senate","Statewide","gen","FALSE","Jerry Sanders","alaskan independence","FALSE",3785,308315,"20171011"
1978,"Alaska","AK","02",94,81,"US Senate","statewide","gen","FALSE","Ted Stevens","republican","FALSE",92783,122741,"20171011"
2004,"Alaska","AK","02",94,81,"US Senate","Statewide","gen","FALSE","Ted ""Big"" Gianoutsos","nonpartisan","FALSE",732,308315,"20171011"
1986,"Alaska","AK","02",94,81,"US Senate","statewide","gen","FALSE","Glenn Olds","democrat","FALSE",79727,180801,"20171011"
1978,"Alabama","AL","01",63,41,"US Senate","statewide","gen","FALSE","Jerome B. Couch","prohibition","FALSE",34951,582005,"20171011"
1984,"Alabama","AL","01",63,41,"US Senate","statewide","gen","FALSE","Howell Heflin","democrat","FALSE",860535,1371234,"20171011"
1980,"Alabama","AL","01",63,41,"US Senate","statewide","gen","FALSE","Jim Folsom Jr.","democrat","FALSE",610175,1296757,"20171011"
1980,"Alabama","AL","01",63,41,"US Senate","statewide","gen","FALSE","Jeremiah Denton","republican","FALSE",650362,1296757,"20171011"
1986,"Alabama","AL","01",63,41,"US Senate","statewide","gen","FALSE","Richard Shelby","democrat","FALSE",609360,1211897,"20171011"
1986,"Alabama","AL","01",63,41,"US Senate","statewide","gen","FALSE","Jeremiah Denton","republican","FALSE",602537,1211897,"20171011"
2002,"Alabama","AL","01",63,41,"US Senate","statewide","gen","FALSE","Jeff Sessions","republican","FALSE",792561,1353023,"20171011"
1978,"Alabama","AL","01",63,41,"US Senate","statewide","gen","TRUE","James D. Martin","republican","FALSE",316170,729842,"20171011"
2008,"Alabama","AL","01",63,41,"US Senate","statewide","gen","FALSE","Vivian Davis Figures","democrat","FALSE",752391,2060191,"20171011"
1992,"Alabama","AL","01",63,41,"US Senate","Statewide","gen","FALSE","Richard C. Shelby","democrat","FALSE",1022698,1577799,"20171011"
1992,"Alabama","AL","01",63,41,"US Senate","Statewide","gen","FALSE","","","TRUE",1275,1577799,"20171011"
1998,"Alabama","AL","01",63,41,"US Senate","Statewide","gen","FALSE","","","TRUE",864,1293405,"20171011"
1980,"Alabama","AL","01",63,41,"US Senate","statewide","gen","FALSE","Sallie M. Hadnott","national democratic party of alabama","FALSE",2973,1296757,"20171011"
1978,"Alabama","AL","01",63,41,"US Senate","statewide","gen","TRUE","Michael R. A. Erdey","libertarian","FALSE",6006,729842,"20171011"
1996,"Alabama","AL","01",63,41,"US Senate","statewide","gen","FALSE","Mark Thornton","libertarian","FALSE",21550,1499393,"20171011"
1980,"Alabama","AL","01",63,41,"US Senate","statewide","gen","FALSE","William A. Crew","libertarian","FALSE",13098,1296757,"20171011"
1980,"Alabama","AL","01",63,41,"US Senate","statewide","gen","FALSE","Michael R.A. Erdey","conservative","FALSE",15989,1296757,"20171011"
1998,"Alabama","AL","01",63,41,"US Senate","Statewide","gen","FALSE","Richard C. Shelby","republican","FALSE",817973,1293405,"20171011"
1992,"Alabama","AL","01",63,41,"US Senate","Statewide","gen","FALSE","Jerome Shockley","libertarian","FALSE",31811,1577799,"20171011"
2002,"Alabama","AL","01",63,41,"US Senate","statewide","gen","FALSE","Jeff Allen","libertarian","FALSE",20234,1353023,"20171011"
2016,"Alabama","AL","01",63,41,"US Senate","statewide","gen","FALSE","Ron Crumpton","democrat","FALSE",748709,2087444,"20171011"
1996,"Alabama","AL","01",63,41,"US Senate","statewide","gen","FALSE","Roger Bedford","democrat","FALSE",681651,1499393,"20171011"
1996,"Alabama","AL","01",63,41,"US Senate","statewide","gen","FALSE","Charles R. Hebner","natural law","FALSE",9123,1499393,"20171011"
1984,"Alabama","AL","01",63,41,"US Senate","statewide","gen","FALSE","S. D. (Yana) Davis","libertarian","FALSE",12191,1371234,"20171011"
1998,"Alabama","AL","01",63,41,"US Senate","Statewide","gen","FALSE","Clayton Suddith","democrat","FALSE",474568,1293405,"20171011"
2004,"Alabama","AL","01",63,41,"US Senate","Statewide","gen","FALSE","","","TRUE",1848,1839066,"20171011"
2004,"Alabama","AL","01",63,41,"US Senate","Statewide","gen","FALSE","Richard C. Shelby","republican","FALSE",1242200,1839066,"20171011"
1980,"Alabama","AL","01",63,41,"US Senate","statewide","gen","FALSE","Jim Partain","statesman","FALSE",2649,1296757,"20171011"
2008,"Alabama","AL","01",63,41,"US Senate","statewide","gen","FALSE","","","TRUE",2417,2060191,"20171011"
1996,"Alabama","AL","01",63,41,"US Senate","statewide","gen","FALSE","Jeff Sessions","republican","FALSE",786436,1499393,"20171011"
2004,"Alabama","AL","01",63,41,"US Senate","Statewide","gen","FALSE","Wayne Sowell","democrat","FALSE",595018,1839066,"20171011"
1996,"Alabama","AL","01",63,41,"US Senate","statewide","gen","FALSE","","","TRUE",633,1499393,"20171011"
2002,"Alabama","AL","01",63,41,"US Senate","statewide","gen","FALSE","","","TRUE",1350,1353023,"20171011"
1978,"Alabama","AL","01",63,41,"US Senate","statewide","gen","TRUE","Donald Stewart","democrat","FALSE",401852,729842,"20171011"
1992,"Alabama","AL","01",63,41,"US Senate","Statewide","gen","FALSE","Richard Sellers","republican","FALSE",522015,1577799,"20171011"
1978,"Alabama","AL","01",63,41,"US Senate","statewide","gen","FALSE","Howell Heflin","democrat","FALSE",547054,582005,"20171011"
1978,"Alabama","AL","01",63,41,"US Senate","statewide","gen","TRUE","A. J. Killinsworth","prohibition","FALSE",5814,729842,"20171011"
2014,"Alabama","AL","01",63,41,"US Senate","statewide","gen","FALSE","","","TRUE",22484,818090,"20171011"
2016,"Alabama","AL","01",63,41,"US Senate","statewide","gen","FALSE","Richard C. Shelby","republican","FALSE",1335104,2087444,"20171011"
2008,"Alabama","AL","01",63,41,"US Senate","statewide","gen","FALSE","Jeff Sessions","republican","FALSE",1305383,2060191,"20171011"
2014,"Alabama","AL","01",63,41,"US Senate","statewide","gen","FALSE","Jeff Sessions","republican","FALSE",795606,818090,"20171011"
2002,"Alabama","AL","01",63,41,"US Senate","statewide","gen","FALSE","Susan Parker","democrat","FALSE",538878,1353023,"20171011"
1990,"Alabama","AL","01",63,41,"US Senate","statewide","gen","FALSE","","","TRUE",150,1185154,"20171011"
2010,"Alabama","AL","01",63,41,"US Senate","Statewide","gen","FALSE","William G. Barnes","democrat","FALSE",515619,1483800,"20171011"
1990,"Alabama","AL","01",63,41,"US Senate","statewide","gen","FALSE","Howell Heflin","democrat","FALSE",717814,1185154,"20171011"
2010,"Alabama","AL","01",63,41,"US Senate","Statewide","gen","FALSE","Richard C. Shelby","republican","FALSE",968181,1483800,"20171011"
1980,"Alabama","AL","01",63,41,"US Senate","statewide","gen","FALSE","Mohammed Oliver","socialist workers","FALSE",1511,1296757,"20171011"
1984,"Alabama","AL","01",63,41,"US Senate","statewide","gen","FALSE","Albert Lee Smith","republican","FALSE",498508,1371234,"20171011"
2016,"Alabama","AL","01",63,41,"US Senate","statewide","gen","FALSE","","","TRUE",3631,2087444,"20171011"
1990,"Alabama","AL","01",63,41,"US Senate","statewide","gen","FALSE","Bill Cabaniss","republican","FALSE",467190,1185154,"20171011"
1996,"Arkansas","AR","05",71,42,"US Senate","statewide","gen","FALSE","Winston Bryant","democrat","FALSE",400241,846183,"20171011"
1986,"Arkansas","AR","05",71,42,"US Senate","statewide","gen","FALSE","Asa Hutchinson","republican","FALSE",262313,695487,"20171011"
