year,state,state_po,state_fips,state_cen,state_ic,office,district,stage,special,candidate,party,writein,candidatevotes,totalvotes,version
1988,"Arizona","AZ","04",86,61,"US Senate","statewide","gen","FALSE","Keith DeGreen","republican","FALSE",478060,1164539,"20171011"
2010,"Arizona","AZ","04",86,61,"US Senate","Statewide","gen","FALSE","David F. Nolan","libertarian","FALSE",80097,1708484,"20171011"
1992,"Arizona","AZ","04",86,61,"US Senate","Statewide","gen","FALSE","Kiana Delamare","libertarian","FALSE",22613,1382051,"20171011"
2006,"Arizona","AZ","04",86,61,"US Senate","statewide","gen","FALSE","","","TRUE",12,1526782,"20171011"
2000,"Arizona","AZ","04",86,61,"US Senate","statewide","gen","FALSE","Jon Kyl","republican","FALSE",1108196,1397076,"20171011"
1986,"Arizona","AZ","04",86,61,"US Senate","statewide","gen","FALSE","John McCain","republican","FALSE",521850,862921,"20171011"
1998,"Arizona","AZ","04",86,61,"US Senate","Statewide","gen","FALSE","John C. Zajac","libertarian","FALSE",23004,1013280,"20171011"
1976,"Arizona","AZ","04",86,61,"US Senate","statewide","gen","FALSE","Bob Field","independent","FALSE",10765,741210,"20171011"
1994,"Arizona","AZ","04",86,61,"US Senate","statewide","gen","FALSE","Sam Coppersmith","democrat","FALSE",442510,1119060,"20171011"
2010,"Arizona","AZ","04",86,61,"US Senate","Statewide","gen","FALSE","Rodney Glassman","democrat","FALSE",592011,1708484,"20171011"
1994,"Arizona","AZ","04",86,61,"US Senate","statewide","gen","FALSE","Scott Grainger","libertarian","FALSE",75493,1119060,"20171011"
1994,"Arizona","AZ","04",86,61,"US Senate","statewide","gen","FALSE","Jon Kyl","republican","FALSE",600999,1119060,"20171011"
2006,"Arizona","AZ","04",86,61,"US Senate","statewide","gen","FALSE","Jon Kyl","republican","FALSE",814398,1526782,"20171011"
2016,"Arizona","AZ","04",86,61,"US Senate","statewide","gen","FALSE","John McCain","republican","FALSE",1359267,2530730,"20171011"
1980,"Arizona","AZ","04",86,61,"US Senate","statewide","gen","FALSE","Fred R. Esser","libertarian","FALSE",12008,874238,"20171011"
2012,"Arizona","AZ","04",86,61,"US Senate","statewide","gen","FALSE","Richard Carmona","democrat","FALSE",1036542,2243422,"20171011"
2016,"Arizona","AZ","04",86,61,"US Senate","statewide","gen","FALSE","Selena Lopez","independent","TRUE",223,2530730,"20171011"
2016,"Arizona","AZ","04",86,61,"US Senate","statewide","gen","FALSE","Gene Scott II","democrat","TRUE",7,2530730,"20171011"
2006,"Arizona","AZ","04",86,61,"US Senate","statewide","gen","FALSE","Richard Mack","libertarian","FALSE",48231,1526782,"20171011"
1992,"Arizona","AZ","04",86,61,"US Senate","Statewide","gen","FALSE","","","TRUE",26,1382051,"20171011"
2010,"Arizona","AZ","04",86,61,"US Senate","Statewide","gen","FALSE","Loyd Ellis","","TRUE",160,1708484,"20171011"
1982,"Arizona","AZ","04",86,61,"US Senate","statewide","gen","FALSE","Pete Dunn","","FALSE",291749,723885,"20171011"
1980,"Arizona","AZ","04",86,61,"US Senate","statewide","gen","FALSE","Lorenzo Torrez","people before profits","FALSE",3608,874238,"20171011"
1992,"Arizona","AZ","04",86,61,"US Senate","Statewide","gen","FALSE","Ed Finkelstein","new alliance","FALSE",6335,1382051,"20171011"
1982,"Arizona","AZ","04",86,61,"US Senate","statewide","gen","FALSE","Randall ""Pete Bardo"" Clamons","","FALSE",20100,723885,"20171011"
2000,"Arizona","AZ","04",86,61,"US Senate","statewide","gen","FALSE","Barry J. Hess II","libertarian","FALSE",70724,1397076,"20171011"
1988,"Arizona","AZ","04",86,61,"US Senate","statewide","gen","FALSE","Dennis DeConcini","democrat","FALSE",660403,1164539,"20171011"
1986,"Arizona","AZ","04",86,61,"US Senate","statewide","gen","FALSE","Paul C. Rodriguez","","TRUE",60,862921,"20171011"
2016,"Arizona","AZ","04",86,61,"US Senate","statewide","gen","FALSE","Gary Swing","green","FALSE",138634,2530730,"20171011"
1980,"Arizona","AZ","04",86,61,"US Senate","statewide","gen","FALSE","Bill Schulz","democrat","FALSE",422972,874238,"20171011"
2004,"California","CA","06",93,71,"US Senate","Statewide","gen","FALSE","Barbara Boxer","democrat","FALSE",6955728,12053295,"20171011"
1986,"California","CA","06",93,71,"US Senate","statewide","gen","FALSE","Edward B. ""Ed"" Vallen","independent","FALSE",109856,7398462,"20171011"
